mgperk.trdsh_value_of_shuttle_items_2.subName	Транспортная наценка						
mgperk.trdsh_shuttle_move_speed_3.name	Навигационный ИИ						
mgperk.trdsh_shuttle_move_speed_3.subName	Время доставки						
mgperk.genomeeditor_department.name	Геном						
mgperk.genomeeditor_department.subName	Модуль улучшения клонов						
mgperk.trainingcenter_department.name	Тренировка						
mgperk.trainingcenter_department.subName	Модуль тренировки						
mgperk.battleexpcond_department.name	Конденсатор						
mgperk.battleexpcond_department.subName	Модуль иерархии						
mgperk.gned_operator_upgrade_speed.name	Репликация данных						
mgperk.gned_operator_upgrade_speed.subName	Ускорение разработки						
mgperk.gned_operators_to_upgrade.name	Хранилище ДНК						
mgperk.gned_operators_to_upgrade.subName	Объем исследований						
mgperk.gned_operator_upgrade_speed_2.name	Анализ мутагенеза						
mgperk.gned_operator_upgrade_speed_2.subName	Ускорение разработки						
mgperk.gned_operators_to_upgrade_2.name	Популяционные данные						
mgperk.gned_operators_to_upgrade_2.subName	Объем исследований						
mgperk.gned_operator_upgrade_speed_3.name	Секвенирование ДНК						
mgperk.gned_operator_upgrade_speed_3.subName	Ускорение разработки						
mgperk.gned_operators_to_upgrade_3.name	Гибридные методы						
mgperk.gned_operators_to_upgrade_3.subName	Объем исследований						
mgperk.gned_operator_upgrade_speed_4.name	Управляемые мутации						
mgperk.gned_operator_upgrade_speed_4.subName	Ускорение разработки						
mgperk.gned_operators_to_upgrade_4.name	Химерные организмы						
mgperk.gned_operators_to_upgrade_4.subName	Объем исследований						
mgperk.trcn_operators_count_limit.name	Полоса препятствий						
mgperk.trcn_operators_count_limit.subName	Тренировочные мощности						
mgperk.trcn_operators_count_limit_2.name	Тренировочные залы						
mgperk.trcn_operators_count_limit_2.subName	Тренировочные мощности						
mgperk.trcn_perk_upgrade_level_limit.name	Силовые тренировки						
mgperk.trcn_perk_upgrade_level_limit.subName	Эффективность						
mgperk.trcn_perk_upgrade_level_limit_2.name	Боевые стимуляторы						
mgperk.trcn_perk_upgrade_level_limit_2.subName	Эффективность						
mgperk.btexc_rank_uprade_limit.name	Служебный протокол						
mgperk.btexc_rank_uprade_limit.subName	Иерархия						
mgperk.btexc_rank_uprade_limit_2.name	Субординация						
mgperk.btexc_rank_uprade_limit_2.subName	Иерархия						
mgperk.btexc_rank_uprade_limit_3.name	Знаки отличия						
mgperk.btexc_rank_uprade_limit_3.subName	Иерархия						
mgperk.btexc_kill_count_to_ugprade.name	Рейтинговая система						
mgperk.btexc_kill_count_to_ugprade.subName	Дисциплина						
mgperk.btexc_kill_count_to_ugprade_2.name	Гаупвахта						
mgperk.btexc_kill_count_to_ugprade_2.subName	Дисциплина						
ui.mgmodifier.NewsAnalyticsDepartment.desc	При активации создает дополнительную случайную миссию в текущей системе						
ui.mgmodifier.HyperWaveScannerDepartment.desc	При старте миссии автоматически сканирует этажи станции, начиная с первого						
ui.mgmodifier.WeaponStationDepartment.desc	Позволяет модифицировать параметры оружия за чипы предметов						
ui.mgmodifier.ArmorStationDepartment.desc	Позволяет модифицировать параметры брони за чипы предметов						
ui.mgmodifier.ProdlineDepartment.desc	Улучшает возможности крафта на «Магнуме»						
ui.mgmodifier.PurgeBrigadeDepartment.desc	Больше предметов после выполнения миссий						
ui.mgmodifier.StoreConstructorDepartment.desc	Автоматически разбирает предметы на компоненты с гарантированным шансом получения материалов						
ui.mgmodifier.MemdefragDepartment.desc	Позволяет модифицировать класс оперативника за чипы классов						
ui.mgmodifier.MorphanalDepartment.desc	Позволяет модифицировать пакты за пакты						
ui.mgmodifier.BramengineDepartment.desc	Позволяет перемещаться по Солнечной Системе через брамфатуры						
ui.mgmodifier.AutonomCapsuleDepartment.desc	Позволяет вызвать капсулу для эвакуации предметов с миссии на «Магнум»						
ui.mgmodifier.CargoShuttleDepartment.desc	У шаттла появляется собственный инвентарь (дополнительные предметы на миссию и слоты для эвакуации)						
ui.mgmodifier.TradeShuttleDepartment.desc	Позволяет продавать предметы на станциях планет и удаленных спутников						
