	English						
ui.settings.help.general_content	<color=#FFFEC0>Quasimorph</color> is a turn-based rogue-like game.<br><br><color=#FFFEC0>Health Points</color><br>Health is one of the key characteristics. When health points (HP) reach zero, the character dies. To restore health, you can use autodocs, first aid kits, heal wounds with high-quality stabilizing materials, or maintaining a good diet. A high-calorie reserve activates natural regeneration (+1 HP per turn), and zero causes atrophy (-1 HP per turn). Activating the character's abilities also spends calories. Do not be surprised that hunger comes so quickly. The heroes you control are clones with a metabolism cranked up to maximum.<br><br><color=#FFFEC0>Movement</color><br>Depending on the chosen method of movement, the player receives a different number of action points (AP) per turn. Stealth movement is slow, gives only one AP, but the player gets a stealth bonus and the ability to not spend AP when interacting with doors, objects, or inventory. Normal movement gives two AP, no penalties or bonuses. Running gives three AP, but while running you cannot interact with doors, objects, and inventory. But you can use weapons. Each method of movement consumes its own number of calories.<br><br><color=#FFFEC0>Perks</color><br>Active perks are triggered automatically when the activation conditions are met. Each ability has its own trigger. After activation, the character receives temporary bonuses and experience, gradually improving that ability. Passive perks are active constantly and also improve if the character performs the actions specified in the perk text: shoots from a certain weapon, moves while overloaded, and so on.<br><br><color=#FFFEC0>Quasimorphosis</color><br>The level of quasimorphosis increases due to the influence of entities that resides in the bramfaturas of the Solar System planets. These entities are called quasimorphs. The higher the quasimorphosis meter, the more aggressive the enemies. As the meter rises, the subtle and physical worlds come into contact, and quasimorphs gain the ability to move into our reality. During their manifestation, they are invulnerable to weapons and do not attack.<br><br><color=#FFFEC0>Wounds</color><br>Successful attacks on a character can not only reduce HP, but also cause wounds. To treat wounds, you must use any items that have wound stabilizing or healing properties. However, even a stabilized wound has a chance of infection, so it is useful to use antibiotics or sorbents. A stabilized wound can open again after some time. In this case, you need to repeat the stabilization procedure. Morphine and first aid kits allow you to close all current wounds and can be used from quick slots even while running. Autodoc heals all wounds at once, except for amputated limbs. Particularly strong substances - morphine, alcohol, cigarettes, and gavvakh - can cause addiction. Each type of addiction has its own penalties. Repeated use of the corresponding substance will reset the progress of the addiction, but will not cure it.<br><br><color=#FFFEC0>Weapons and Armor</color><br>Different types of long-range weapons have different types and consumption of ammunition. Weapons break over time. Study the characteristics of not only weapons, but also ammunition: many of them have special effects. In addition to the usual types of damage, there are composite ones: explosive (blunt and piercing), plasma (cut and fire). The lowest armor value corresponding to the types of damage protects against them. You can always disassemble weapons and armor that are useless to you into spare parts. They can be used to repair the equipment you use. Cloth can be torn into rags which can be used to stabilize wounds, repair clothes and backpacks. Broken weapons cannot be used, broken armor does not increase damage resistance, and the contents of a broken backpack or vest fall out every turn. Accuracy and dodge have upper limits and bonuses for exceeding them. If accuracy becomes greater than 95%, then every 10% above it increases the chance of a critical hit by 1%, after which accuracy decreases to 95%. If dodge becomes greater than 95%, then every 10% above it decreases the chance of getting wounded by 1%, after which dodge decreases to 95%. Armor damage reduction is calculated using a non-linear formula. The higher your armor rating, the less reduction the next armor point will give. You can see by what percentage the armor reduces the damage received in the tooltip by hovering the mouse cursor over your armor ratings at the bottom of the inventory. The same tooltip will show protection against composite damage types. Having sharp weapons in your inventory allows you to amputate limbs. Be careful! Amputation of some body parts is fatal.<br><br><color=#FFFEC0>Interactive objects</color><br>The elevator is a key object on each floor of the station, it takes the player to the next floor. Useful items can be found in medical and weapon boxes. Autodocs allow you to restore health and heal wounds. To use them, you need at least one charge. You can restore the charge by spending energy batteries. The level scanner allows you to get more information on the minimap. It also uses energy batteries to get more data. Doors can not only be opened, but also closed or blocked. Options for interacting with doors are available by pressing the right mouse button, same for information about enemies.<br><br><color=#FFFEC0>Factions and missions</color><br>The strength of a faction is determined by two parameters: Power and Technology. Power affects the missions issued by the faction, namely: the number of enemies, the quality of the dropped items and the reward. Power affects the chance of successfully completing a mission without the player's participation, and is also spent on creating new missions. Technology determines the equipment available to the faction, which they can use and sell, and the number of missions that the faction can issue at one time. These parameters increase over time depending on the stations in the faction's possession and the completed missions. If the faction has not issued a reward for a task in full, then it will accumulate credit that can be used for the next barter. Factions and their characteristics can be viewed in the first tab of the Stock Exchange.<br><br><color=#FFFEC0>Barter and Free Market</color><br>As PMCs are illegal organizations, they are not connected to the system-wide trading network and are not included in the reputation-based economy. However, corporations agree to exchange items with PMCs. Keep in mind that factions will not always accept or sell items at market price, and some items offered by corporations have a fixed value. The items accepted depend on the station where the exchange takes place, and their selection changes over time. Current accepted items can be viewed in the station tooltip, and those sold - in the second barter tab.The game operates on the law of Supply and Demand. Stations use the items they accept to produce goods, and then sell them to other stations. Because of this, the price of barter items can vary greatly. You can view current prices and their dynamics in the second tab of the Stock Exchange. If you have sufficient reputation with the faction, you can directly purchase items from the inventory of stations in the second barter tab. In this case, the first tab will be used to exchange items for faction credit. To exchange without having to visit stations, you can enable Fast Trading in the settings.<br><br>						
ui.settings.help.general	general						
ui.settings.help.tips	tips						
ui.settings.help.faq	faq						
ui.settings.help.faq_content	<color=#FFFEC0>Trade break</color><br>If your reputation with a faction drops below zero, all your accumulated barter points with that faction will be lost.<br><br><color=#FFFEC0>Actions</color><br>Special conditions in the game include eating, moving, or taking an action. Actions in this case include: rearranging items in your inventory, reloading and throwing weapons and grenades, interacting with interactive objects, and activating pact abilities.<br><br><color=#FFFEC0>Weapon and Character Range</color><br>If the target is outside the weapon's range, its properties will not work, and the damage dealt will be reduced for each tile beyond the optimal range. Character range is the range of vision.<br><br><color=#FFFEC0>Equipment and Repairs</color><br>Weapons and armor wear out over time. If equipment is repaired using spare parts instead of appropriate repair kits, then with each repair, their maximum durability will decrease. Because of this, weapons and armor may become completely unusable.<br><br><color=#FFFEC0>Shift and Ctrl in inventory</color><br>Moving an item while holding Shift will move all items of that type. If you left-click on an item while holding Ctrl, it will be moved to/from the inventory.<br><br><color=#FFFEC0>Amputations</color><br>Amputations are the most severe type of injury. They cannot be cured, only stabilized, temporarily removing the damage received, but not the negative effects. Some parts of the body are connected to each other: the thigh and foot, the shoulder and arm. When the upper body is amputated, the lower, adjacent part is also amputated. Vital parts of the body are the head, chest, body, and stomach. Their amputation leads to instant death.<br><br><color=#FFFEC0>Where are quasimorphs?</color><br>At the start of the game, there are no quasimorphs on Earth, its artificial satellite Tsiolkovsky, as well as on Mars, Phobos and Deimos. In mission types such as Defense, Control, Security quasimorphosis and eccollaps are absent.<br><br><color=#FFFEC0>Breaking walls</color><br>All walls can be broken if enough damage is inflicted.<br><br><color=#FFFEC0>Puddles</color><br>Any liquids (water, blood, fuel, poison) can leave behind puddles. If the new puddle is larger or the same size as the old one, the new one will replace the old one. Spilled fuel can catch fire. Puddles of poison are considered dangerous tiles and dry out over time. If any item other than quest ones or pacts ends up in the poison puddle, it will be destroyed.<br><br><color=#FFFEC0>Items and Fire</color><br>If a floor tile with raw meat catches fire, the meat will become fried. Any other items, except quest items and pacts, will be destroyed.<br><br><color=#FFFEC0>Add. damaging elements</color><br>A weapon with this property, when destroying cover, deals damage to everyone standing next to that cover.<br><br><color=#FFFEC0>Add. knockback range</color><br>Weapons with this property push away the target they hit further than any other.<br><br><color=#FFFEC0>Amputation due to injury</color><br>Weapons with this property have an increased chance of amputation as a wound.<br><br><color=#FFFEC0>Silencer</color><br>Shooting a weapon with a silencer has a chance to not attract the attention of nearby enemies.<br><br><color=#FFFEC0>Pierce Chance</color><br>Ammo with this property have a chance to pass through an obstacle (cover or even an enemy) and hit a target behind it.<br><br><color=#FFFEC0>Pollution Chance</color><br>Ammo with this property have a chance to leave behind a dangerous tile of the corresponding type.<br><br><color=#FFFEC0>Pain Damage</color><br>Weapons with this property increase damage to the pain meter.<br><br><color=#FFFEC0>Severe fractures</color><br>Fracture type wounds inflicted by weapons with this property have increased damage.<br><br><color=#FFFEC0>Severe bleeding</color><br>Bleeding type wounds inflicted by weapons with this property have increased damage.<br><br><color=#FFFEC0>Attacks nearby</color><br>Weapon with this property additionally hit the left and right tiles closest to the player on either side of the target.<br><br><color=#FFFEC0>Weapon Throwing</color><br>If you press LMB on an enemy at a distance while holding Shift and with a melee weapon equipped, the clone will throw the weapon at the target. The maximum range of a such throw is 5 tiles, starting from the clone's tile.<br><br><color=#FFFEC0>Accurate throw</color><br>Throwing a weapon with this property will always hit the target.<br><br><color=#FFFEC0>Piercing Throw</color><br>A weapon with this property, when thrown, can pass through the target and damage targets behind it.<br><br><color=#FFFEC0>Wound-inflicting pierce through</color><br>Weapons with this property inflict a wound if the attack pierces the enemy through. The Pierce Chance can be found in the properties of ammo.<br><br><color=#FFFEC0>Backup Gun</color><br>Weapons with this property increase the critical hit chance by the specified value for weapons in other slots.<br><br><color=#FFFEC0>Ramp Up Shot</color><br>Weapons with this property increase their rate of fire when firing continuously.<br><br><color=#FFFEC0>Painful Critical Hits</color><br>Weapons with this property inflict additional pain on critical hits.<br><br><color=#FFFEC0>Armor Penetration</color><br>Weapons with this property subtract the specified percentage of the target's armor before calculating the damage reduction from the armor.<br><br><color=#FFFEC0>Field of View</color><br>Weapons with this property modify the clone's field of view to the specified value.<br><br><color=#FFFEC0>Weapons with their own damage type</color><br>Some types of weapons (plasma, electric, cold) use the characteristics of not loaded ammo, but their own, thus replacing both the damage type and other characteristics. You can view the replacing characteristics during the mission by hovering the mouse cursor over the ammo icon in the upper left corner.<br><br><color=#FFFEC0>Deleting Modification Projects</color><br>If you reduce all the stats of equipment upgrade projects to base values, then after finishing work on the project, the stats of all equipment already produced under this project will also be reduced to base values, and the project itself will be deleted, thus freeing up the slot.<br><br><color=#FFFEC0>Population</color><br>A station resource responsible for its efficiency. With high/low population, the station produces goods faster/slower. Population grows over time if the necessary resources are available, but can be changed based on the results of a completed mission.<br><br>						
ui.settings.dateFormat	Date format						
ui.settings.timeFormat	Time format						
ui.settings.24hourDescription	24-hour format						
ui.settings.12hourDescription	12-hour format						
ui.main.startgame	start game						
ui.main.settings	options						
ui.main.exit	exit						
ui.main.bugreport	report a bug						
ui.main.help	help						
ui.main.abortmission	abort mission						
ui.main.bannercaption	News						
ui.bugreport.sendreport	send report						
ui.bugreport.describe	please describe your problem. The log will be attached automatically.						
ui.bugreport.failedtitle	error						
ui.bugreport.failedbody	An error occurred, please send the log in path {0} manually to our discord.						
ui.bugreport.sendedtitle	completed						
ui.bugreport.sendedbody	Your message has been delivered to the developers, thanks for the help.						
ui.bugreport.openplayerlog	Log folder						
ui.bugreport.confirmsendreport	Allow user data (saves, logs, screenshot from the game) to be sent?						
ui.savedgames.saveslot	Save Slot						
ui.savedgames.savesdata	Save Date						
ui.savedgames.playingtime	Playing Time						
ui.credits.lomakin.name	Alexander Lomakin						
ui.credits.lomakin.desc	Programming						
ui.credits.jyravskii.name	Evgeny Zhuravsky						
ui.credits.jyravskii.desc	Music						
ui.credits.devyatko.name	Ivan Devyatko						
ui.credits.devyatko.desc	Narrative design						
ui.credits.pechatnikov.name	Sergey Pechatnikov						
ui.credits.pechatnikov.desc	Game design						
ui.credits.pechatnikova.name	Evgenia Pechatnikova						
ui.credits.pechatnikova.desc	3d modeling						
ui.triggerdialog.jane	Jane						
ui.triggerdialog.firstpilot	First pilot						
ui.triggerdialog.raiddaily	Francis Reid-Daly						
ui.triggerdialog.head	Eipschwitz's head						
ui.triggerdialog.ksiomara	Xiomara						
ui.triggerdialog.eipschwitz	Professor Eipschwitz						
ui.triggerdialog.tezctlan	Tezctlan						
ui.triggerdialog.urparp	Urparp						
tutorial.ecolapse.dialog	The phenomenon in which a creature is torn from the inside and a Quasimorph appears in its place is called an <color=#FFFEC1>eccolapse</color>. On the first turn the newly appeared Quasimorph is invulnerable, it phases between our and their realities. At this moment, it makes no sense to fire at it, it’s better to take a tactically more advantageous position.						
tutorial.pickup_dataidsk.dialog	Valuable items such as production chips and mercenary mind chips justify the costs of using the shuttle. If you find something like this on a mission, we can evacuate you as part of the standard procedure using the elevator or shuttle.						
tutorial.receive_wound.dialog	Injuries are common in combat situations. The first priority is to treat the wound. You can use bandages, splints, or even ordinary rags for that. To obtain a rag, tear up any unnecessary clothing. Autodocs and surgical kits allow you to immediately heal any wound.						
tutorial.receive_infection.dialog	Some wounds can become infected. To prevent this, use sorbent or antibiotics.						
